raw_name,canonical_name
CITI FUND SERVICES OHIO INC.,CITI FUND SERVICES OHIO INC.
CITRIN COOPERMAN,CITRIN COOPERMAN
CLAUDIA L. LLANOS A CONSULTANCY  ACCOUNTANCY CORPORATION,CLAUDIA L. LLANOS A CONSULTANCY  ACCOUNTANCY CORPORATION
CLIFTONLARSONALLEN LLP,CLIFTONLARSONALLEN LLP
COBALT FUND SERVICES L.P.,COBALT FUND SERVICES LP
COBALT FUND SERVICES LP,COBALT FUND SERVICES LP
COHEN  ASSOCIATES LLC,COHEN  ASSOCIATES LLC
COLMORE,COLMORE
COLUMBIA PACIFIC ADVISORS,COLUMBIA PACIFIC ADVISORS
CONDE BOYCE,CONDE BOYCE
CONEJOS CAPITAL LLC,CONEJOS CAPITAL LLC
COONEY AND ASSOCIATES,COONEY AND ASSOCIATES
CORE FUND SOLUTIONS,CORE FUND SOLUTIONS
CORNERSTONE FUND ADMINISTRATOR,CORNERSTONE FUND SERVICES LLC
CORNERSTONE FUND SERVICES,CORNERSTONE FUND SERVICES LLC
CORNERSTONE FUND SERVICES LLC,CORNERSTONE FUND SERVICES LLC
CORNERSTONE INVESTMENT MANAGEMENT INC.,CORNERSTONE FUND SERVICES LLC
CORPORATION SERVICE COMPANY,CORPORATION SERVICE COMPANY
CRESCENT SCNOLA MANAGER LLC,CRESCENT SCNOLA MANAGER LLC
CSC FUND SERVICES,CSC FUND SERVICES
CSC FUND SERVICES NORTH AMERICA LLC,CSC FUND SERVICES
CSC GLOBAL FUND SERVICES,CSC FUND SERVICES
CSC GLOBAL SOLUTIONS,CSC FUND SERVICES
DBA CARTA INC.,CARTA FUND SERVICES LLC
DECILE GROUP INC.,DECILE GROUP INC.
DELUCA FINANCIAL SERVICES,DELUCA FINANCIAL SERVICES
DKH SERVICES LLC,DKH SERVICES LLC
DSF ADVISOR LLC,DSF ADVISOR LLC
DT ACCOUNTING  BOOKKEEPING SERVICES LLC,DT ACCOUNTING  BOOKKEEPING SERVICES LLC
DUCERA PARTNERS LLC,DUCERA PARTNERS LLC
DYNAMO SOFTWARE INC.,DYNAMO SOFTWARE INC.
DYNAMO SOFTWARE INC. FKA Q-BIZ SOLUTIONS LLC,DYNAMO SOFTWARE INC.
E78 PARTNERS,E78 PARTNERS
EA RESIG LLC,EA RESIG LLC
EAGAN  COMPANY,EAGAN  COMPANY
EDWARD B. COHEN,EDWARD B. COHEN
EISNER ADVISORY GROUP LLC,EISNER ADVISORY GROUP LLC
EISNER AMPER,EISNER ADVISORY GROUP LLC
EISNERAMPER FUND SERVICES LLC,EISNER ADVISORY GROUP LLC
EISNERAMPER LLP,EISNER ADVISORY GROUP LLC
ELEVATE FINANCIAL SERVICES,ELEVATE FINANCIAL SOLUTIONS LLC
ELEVATE FINANCIAL SOLUTIONS LLC,ELEVATE FINANCIAL SOLUTIONS LLC
EMILY AH-SING,EMILY AH-SING
ENCARTE INC.,ENCARTE INC.
ENCARTE INC. DBA AS CANOPY,ENCARTE INC.
ENERGY SPECTRUM SECURITIES CORPORATION,ENERGY SPECTRUM SECURITIES CORPORATION
EPRODIGY,EPRODIGY
EQUITYBEE FUND MANAGEMENT LLC,EQUITYBEE FUND MANAGEMENT LLC
ESHARES INC.,CARTA FUND SERVICES LLC
ESHARES INC. D/B/A CARTA INC.,CARTA FUND SERVICES LLC
ESHARES INC. D/BA/ CARTA INC.,CARTA FUND SERVICES LLC
ESHARES INC. DBA AS CARTA INC.,CARTA FUND SERVICES LLC
ESHARES INC. DBA CARTA,CARTA FUND SERVICES LLC
ESHARES INC. DBA CARTA INC.,CARTA FUND SERVICES LLC
ESHARES INC. DBA CARTA INC. CARTA,CARTA FUND SERVICES LLC
ESHARES INC. DBA CARTA INVESTOR SERVICES INC,CARTA FUND SERVICES LLC
ESHARES INC. DOING BUSINESS AS CARTA INC.,CARTA FUND SERVICES LLC
ESSENTIAL FUND SERVICES INTERNATIONAL LLC,JTC FINANCIAL GROUP
ESSENTIAL FUND SERVICES LLC OWNED BY JTC GROUP ENTITIES,JTC FINANCIAL GROUP
EXCELL PARTNERS INC.,EXCELL PARTNERS INC.
FAIRVIEW INVESTMENT ADMINISTRATION LLC,FAIRVIEW INVESTMENT ADMINISTRATION LLC
FCI LENDER SERVICES INC.,FCI LENDER SERVICES INC.
FGMK LLC,FGMK LLC
FIDELITY INFORMATION SERVICES LLC,FIDELITY INFORMATION SERVICES LLC
FIGURE TECHNOLOGIES INC.,FIGURE TECHNOLOGIES INC.
FIGURE TECHNOLOGIES INC. D/B/A FIGURE DIGITAL FUND SERVICES,FIGURE TECHNOLOGIES INC.
FINALLY FUND ADMIN LLC,FINALLY FUND ADMIN LLC
FINANCIAL SOLUTIONS ACCOUNTING  ADMINISTRATIVE SERVICES INC.,FINANCIAL SOLUTIONS ACCOUNTING  ADMINISTRATIVE SERVICES INC.
FINANCIAL SOLUTIONS ACCOUNTING AND ADMINISTRATIVE SERVICES INC.,FINANCIAL SOLUTIONS ACCOUNTING  ADMINISTRATIVE SERVICES INC.
FINSTRAT MANAGEMENT,FINSTRAT MANAGEMENT
