Unnamed: 0,name,lawyer_id,firm_id,profile_url
480,Mark P. Goshko's Lawyer Profile,129173,17441,https://www.bestlawyers.com/lawyers/mark-p-goshko/129173
481,James A. Giesel's Lawyer Profile,42066,10099,https://www.bestlawyers.com/lawyers/james-a-giesel/42066
482,Michael Edward Millikan's Lawyer Profile,69930,8233,https://www.bestlawyers.com/lawyers/michael-edward-millikan/69930
483,Laura S. Friedrich's Lawyer Profile,123213,27690,https://www.bestlawyers.com/lawyers/laura-s-friedrich/123213
484,Douglas P. Dick's Lawyer Profile,81010,622,https://www.bestlawyers.com/lawyers/douglas-p-dick/81010
485,Mark E. Bonham's Lawyer Profile,48881,4067,https://www.bestlawyers.com/lawyers/mark-e-bonham/48881
486,Malcolm B. Nicholls's Lawyer Profile,50254,16919,https://www.bestlawyers.com/lawyers/malcolm-b-nicholls-iii/50254
487,Stephanie L. Chandler's Lawyer Profile,175622,16482,https://www.bestlawyers.com/lawyers/stephanie-l-chandler/175622
488,Thomas V. D'Ambrosio's Lawyer Profile,59553,28390,https://www.bestlawyers.com/lawyers/thomas-v-d-ambrosio/59553
489,Barrie B. Covit's Lawyer Profile,81573,27681,https://www.bestlawyers.com/lawyers/barrie-b-covit/81573
490,David S. Felman's Lawyer Profile,16564,8892,https://www.bestlawyers.com/lawyers/david-s-dave-felman/16564
491,Laurence P. Naughton's Lawyer Profile,78171,16999,https://www.bestlawyers.com/lawyers/laurence-p-larry-naughton/78171
492,Timothy M. Clark's Lawyer Profile,80989,4067,https://www.bestlawyers.com/lawyers/timothy-m-clark/80989
493,Nicole J.E. Brennig's Lawyer Profile,371131,2669,https://www.bestlawyers.com/lawyers/nicole-j-e-brennig/371131
494,Harrison M. Hall's Lawyer Profile,129550,52857,https://www.bestlawyers.com/lawyers/harrison-m-hall/129550
495,Edward W. Moore's Lawyer Profile,148156,10099,https://www.bestlawyers.com/lawyers/edward-w-eddy-moore/148156
496,Eric Wagner's Lawyer Profile,204316,35142,https://www.bestlawyers.com/lawyers/eric-wagner/204316
497,Udi Grofman's Lawyer Profile,130601,27680,https://www.bestlawyers.com/lawyers/udi-grofman/130601
498,Ty G. Roofner's Lawyer Profile,228419,1548,https://www.bestlawyers.com/lawyers/ty-g-roofner/228419
499,S. Brian Farmer's Lawyer Profile,70267,31349,https://www.bestlawyers.com/lawyers/s-brian-brian-farmer/70267
500,Timothy Clark's Lawyer Profile,125753,33266,https://www.bestlawyers.com/lawyers/timothy-tim-clark/125753
501,Lorna M. Bowen's Lawyer Profile,101099,22334,https://www.bestlawyers.com/lawyers/lorna-m-bowen/101099
502,Robert B. Womble's Lawyer Profile,66542,17441,https://www.bestlawyers.com/lawyers/robert-b-womble/66542
503,David Kern's Lawyer Profile,35868,13861,https://www.bestlawyers.com/lawyers/david-kern/35868
504,JoAnn M. Strasser's Lawyer Profile,146313,25786,https://www.bestlawyers.com/lawyers/joann-m-strasser/146313
505,Wyatt A. Deal's Lawyer Profile,255417,14054,https://www.bestlawyers.com/lawyers/wyatt-a-deal/255417
506,John A. Dado's Lawyer Profile,51962,13597,https://www.bestlawyers.com/lawyers/john-a-dado/51962
507,John D. Reiss's Lawyer Profile,205547,2669,https://www.bestlawyers.com/lawyers/john-d-reiss/205547
508,Rick Giovannelli's Lawyer Profile,64648,17441,https://www.bestlawyers.com/lawyers/rick-giovannelli/64648
509,Jeffrey C. Hart's Lawyer Profile,99518,17711,https://www.bestlawyers.com/lawyers/jeffrey-c-hart/99518
510,Edward D. Nelson's Lawyer Profile,115477,3716,https://www.bestlawyers.com/lawyers/edward-d-nelson/115477
511,Michael A. Gerstenzang's Lawyer Profile,45050,22771,https://www.bestlawyers.com/lawyers/michael-a-gerstenzang/45050
512,Harold B. Finn's Lawyer Profile,980,980,https://www.bestlawyers.com/lawyers/harold-b-finn-iii/980
513,Paul A. Hughes's Lawyer Profile,60089,946,https://www.bestlawyers.com/lawyers/paul-a-hughes/60089
514,Jason A. Herman's Lawyer Profile,174439,27681,https://www.bestlawyers.com/lawyers/jason-a-herman/174439
515,Andrew R. Hough's Lawyer Profile,228911,3844,https://www.bestlawyers.com/lawyers/andrew-r-hough/228911
516,Michael A. Leber's Lawyer Profile,367673,2566,https://www.bestlawyers.com/lawyers/michael-a-leber/367673
517,Steven B. Boehm's Lawyer Profile,41685,2119,https://www.bestlawyers.com/lawyers/steven-b-steve-boehm/41685
518,Dorothy Mehta's Lawyer Profile,183832,22385,https://www.bestlawyers.com/lawyers/dorothy-mehta/183832
519,Barton B. Clark's Lawyer Profile,179725,3716,https://www.bestlawyers.com/lawyers/barton-b-clark/179725
